question,docs
Học bổng Năng lượng tương lai năm học 2024-2025 có những quyền lợi và nghĩa vụ gì đối với sinh viên nhận học bổng?,"Học bổng Năng lượng tương lai năm học 2024-2025
1. Đối tượng: Sinh viên phù hợp tất cả các tiêu chí sau:
- Sinh viên năm thứ 2, 3 các trường: Điện - Điện tử (Kỹ thuật điện, kỹ thuật điều khiển và tự động hóa, hệ thống điện); Cơ khí (kỹ thuật cơ khí, cơ điện tử, kỹ thuật nhiệt); Hóa và KHSS (kỹ thuật hóa học, kỹ thuật môi trường, hóa học).
- Sinh viên có hộ khẩu Quảng Ninh.
- GPA kì 2023.2 từ 2.0 trở lên.
- Điểm rèn luyện kì 2023.2 từ 65 trở lên.
- Có mong muốn làm việc trong ngành năng lượng tại Quảng Ninh và có hiểu biết nhất định về đơn vị tài trợ học bổng (AES).
2. Giá trị:
- Số lượng học bổng: 30 suất bao gồm 5 trường ĐH;
- Trị giá: 14.000.000đ/1 suất.
3. Quyền lợi và nghĩa vụ của sinh viên nhận học bổng:
Quyền lợi:
• Được cấp học bổng trị giá 14 triệu đồng/năm/sinh viên trong năm học 2024-2025.
• Được tham gia các hoạt động trong chương trình (giao lưu, tập huấn kỹ năng, chương trình tình nguyện, trải nghiệm thực tế tại Nhà máy Nhiệt điện Mông Dương II), cơ hội thực tập và đào tạo kỹ năng tại nhà máy nhiệt điện Mông Dương II.
  Nghĩa vụ:
• Tham gia đầy đủ các hoạt động của của chương trình;
• Cam kết tham gia các khóa đào tạo kỹ năng cho sinh, và tham gia trải nghiệm tại nhà máy Nhiệt điện Mông Dương II.
• Có tiến bộ trong học tập và kết quả được minh chứng bằng GPA . 
• Giữ liên hệ với chương trình trong suốt thời gian nhận học bổng để cập nhật tình hình học tập, và 2 năm sau khi tốt nghiệp (cập nhật tình hình việc làm).
4. Quy trình xét chọn:
- Sinh viên ấn đăng kí trên QLĐT;
- Hoàn thành link đăng ký: https://forms.office.com/r/W56zhtGyDh;
- Thời hạn nhập form: 2/1/2025 - 31/1/2025;
- Sau khi Quỹ xét vòng hồ sơ, sinh viên sẽ tiếp tục tham gia phỏng vấn vào tháng 2/2025."
Điều kiện nào cần đáp ứng để sinh viên năm thứ hai trở lên của ĐHBK Hà Nội được nhận học bổng Chứng chỉ tin học văn phòng MOS Words (lớp 1)?,"Học bổng học và thi Chứng chỉ tin học văn phòng MOS Words (lớp 1)
Căn cứ thỏa thuận giữa ĐHBK Hà Nội và Quỹ Chắp cánh CC Foundation, Nhà trường thông báo về Chương trình học bổng các khóa đào tạo và ôn thi Chứng chỉ tin học văn phòng MOS Words (lớp 1) như sau:
1. Đối tượng cấp học bổng: học bổng được cấp cho sinh viên từ năm thứ 2 có các điều kiện sau:
CPA đến hết 2023.2 đạt từ 2.5 trở lên;
ĐRL tích lũy từ 65 trở lên;
Có hoàn cảnh gia đình khó khăn: có sổ/giấy chứng nhận hộ cận nghèo, hộ nghèo hoặc hoàn cảnh khó khăn năm 2024 do địa phương cấp. Đối với sinh viên có hoàn cảnh gia đình khó khăn khác (gia đình có kinh tế khó khăn đông con đi học; sinh viên dân tộc thiểu sổ khó khăn; sinh viên khuyết tật hoặc đang chữa bệnh dài ngày; gia đình có người mắc bệnh hiểm nghèo;....) có thể xin xác nhận tại địa phương hoặc trực tiếp tại Ban Công tác sinh viên, ĐHBK Hà Nội.
Sinh viên nhận học bổng khóa học không ảnh hưởng đến việc giới hạn đăng ký và xét nhận các học bổng tài trợ doanh nghiệp, Trần Đại Nghĩa hay KKHT.
Sinh viên được đăng ký nhiều học bổng khóa học cùng lúc.
2. Số lượng và giá trị:
Số lượng: 90 suất (30 sinh viên/1 lớp);
Giá trị học bổng: 4.500.000 đồng/ 1 suất (được trao bằng kinh phí tài trợ cho sinh viên tham gia khóa đào tạo tại Học viện Công nghệ BKACAD; cùng kinh phí tài trợ cho sinh viên thi chứng chỉ MOS Words quốc tế do IIG tổ chức);
Lưu ý: Các mức học bổng được phân chia như sau:
- Học bổng toàn phần (100%): Đối với sinh viên hoàn thành khóa học, thi đạt chứng chỉ MOS Words theo yêu cầu của Chương trình đào tại hoặc sinh viên tham gia đủ 90% thời lượng khóa học trở lên, có Giấy chứng nhận Hoàn thành khóa học do Chương trình Học viện Công nghệ BKACAD trực thuộc Bên C cấp;
- Học bổng 40%: Đối với sinh viên đã tham gia từ 75% đến dưới 90% thời lượng khóa học và thi không đạt chứng chỉ MOS Excel theo quy định của Chương trình.
- Nhà tài trợ không cấp học bổng Đối với sinh viên/học viên tham gia dưới 75% thời lượng khóa học.
3. Nội dung khóa học và lưu ý của đơn vị đào tạo:
Mỗi sinh viên/học viên tham gia và hoàn thành Chương trình học bổng sẽ nhận được:
Kiến thức, kỹ năng khóa học Tin học văn phòng MOS Words.
Chứng nhận hoàn thành khóa học do Chương trình Học viện Công nghệ BKACAD trực thuộc Bên C cấp.
Có đầy đủ kỹ năng để thi đạt Chứng chỉ Quốc tế Tin học Văn phòng MOS Words có giá trị toàn cầu
Lưu ý: Sinh viên sẽ cần nộp 1 triệu cho đơn vị đào tạo là Học viện Công nghệ BKACAD để đảm bảo trách nhiệm tham gia học tập. Sinh viên tham gia từ 90% thời gian học tập sẽ được hoàn trả lại kinh phí đặt cọc.
4. Đăng kí học bổng:
Sinh viên đăng kí trực tiếp trên QLĐT;
Thời hạn đăng kí: đến hết ngày 24/12/2024;
Dự kiến thời gian khai giảng: tháng 1/2024;
Sinh viên có thắc mắc liên hệ trực tiếp qua teams: thu.nguyenthianh."
"Theo thông báo chương trình học bổng EVN năm học 2024-2025, những điều kiện nào cần đáp ứng để sinh viên được đăng ký xét học bổng?","Học bổng EVN năm học 2024-2025
Căn cứ vào Thỏa thuận tài trợ học bổng giữa Tập đoàn Điện lực Việt Nam EVN và ĐH Bách khoa Hà Nội, Nhà trường xin thông báo Chương trình học bổng EVN năm học 2024-2025 như sau:
Đối tượng xét chọn:
Sinh viên đạt đồng thời các điều kiện sau được đăng ký xét học bổng:
Sinh viên năm cuối (còn học 2 học kì năm học 2024-2025) các ngành Kinh tế công nghiệp, Kỹ thuật điện, Kỹ thuật điện tử - viễn thông, Kỹ thuật điều khiển và tự động hóa, Kỹ thuật nhiệt, Khoa học máy tính, Công nghệ thông tin;
Có kết quả học tập CPA cho đến hết học kì 20232 từ 3.2/4.0 trở lên;
Có kết quả rèn luyện trung bình tích lũy đến hết kì 2023.2 từ 80 điểm trở lên;
Lưu ý:
Ưu tiên sinh viên có hoàn cảnh gia đình khó khăn;
Ưu tiên sinh viên có thành tích tham gia các hoạt động phong trào, hoạt động xã hội, thành tích nghiên cứu khoa học;
Không xét hồ sơ của sinh viên đang trong quá trình xét các học bổng tài trợ khác hoặc đã nhận học bổng tài trợ khác trong năm học 2024-2025.
Số lượng và mức học bổng:
Số lượng: 50 suất;
Mức học bổng: 10.000.000đ/1 suất.
Các bước đăng kí
Bước 1: Sinh viên đăng ký online tại QLDT đến hết ngày 15/1/2024. Mọi hồ sơ minh chứng như thành tích cá nhân, hoàn cảnh gia đình cần được nén vào 1 file hoặc chuyển thành 1 file pdf và đăng lên mục upload Tài liệu.
Bước 2: Sinh viên vượt qua vòng 1 sẽ được thông báo nộp hồ sơ minh chứng để xét tiếp vòng thứ 2."
Điều kiện nào sẽ dẫn đến việc ngừng cấp học bổng Kumho Asiana?,"Học bổng Kumho Asiana lần thứ 18
1. Đối tượng, tiêu chuẩn lựa chọn
a) Là sinh viên năm thứ nhất, có điểm xét tuyển vào đại học tốt.
b) Gia đình có hoàn cảnh khó khăn.
2. Số lượng, tổng giá trị và cơ cấu học bổng
a) Số lượng: 58 suất, mỗi suất trị giá 2.500.000 VNĐ/học kỳ trong thời gian học đại học (2 học kỳ/năm; thời gian đào tạo từ 4 - 6 năm, tùy theo chuyên ngành).
b) Tổng giá trị học bổng: 20.000.000 VNĐ (sinh viên được đào tạo 4 năm).
c) Cơ cấu: Theo phụ lục đính kèm.
3. Tiêu chí và hình thức nhận học bổng
a) Sinh viên nhận Học bổng Kumho Asiana trong thời gian học tại trường đại học.
b) Học bổng Kumho Asiana được duy trì khi sinh viên có điểm trung bình học kỳ đạt từ 7.0 trở lên (đào tạo theo niên chế) và từ 2.8 trở lên (đào tạo theo tín chỉ); xếp loại rèn luyện từ “Tốt” trở lên.
c) Dừng cấp Học bổng Kumho Asiana khi sinh viên đạt điểm trung bình học kỳ hoặc xếp loại rèn luyện dưới tiêu chí ở mục b 02 lần; sinh viên chuyển trường; không nộp bảng điểm trong thời gian quy định; du học nước ngoài; bảo lưu quá 02 học kỳ.
d) Với các trường hợp dừng cấp Học bổng Kumho Asiana nêu tại mục c sẽ được xem xét cấp cho các sinh viên khác đạt tiêu chuẩn tại mục b trong cùng năm học, sinh viên được xét đang không nhận học bổng nào khác.
đ) Trường hợp đặc biệt (duy trì học bổng cho các sinh viên): Sinh viên không đạt điều kiện nhưng có hoàn cảnh khó khăn (có thể ảnh hưởng đến việc học tập) hoặc có điểm trung bình học kỳ gần sát với điểm chuẩn và có thái độ học tập tốt thì có thể đề xuất với Quỹ để sinh viên tiếp tục nhận học bổng. Sinh viên đủ điều kiện nhận học bổng nhưng có thái độ học tập chưa tốt, thì có thể đề xuất với Quỹ ngừng cấp học bổng và thay thế bằng các sinh viên khác.
4. Hồ sơ tham gia xét học bổng
a) Đơn xin Học bổng Kumho Asiana (theo mẫu đính kèm).
b) Sơ yếu lý lịch (theo mẫu đính kèm).
c) Bản sao giấy báo nhập học đối với sinh viên năm nhất/Bảng điểm các kỳ đối với sinh viên được thay thế nhận học bổng (có xác nhận của nhà trường).
d) Giấy xác nhận gia đình có hoàn cảnh khó khăn (do địa phương cấp).
đ) 01 bản sao CMND/Căn cước công dân (có công chứng).
e) Bằng khen, chứng nhận thành tích đã đạt được (nếu có). 
5. Cách thức đăng ký:
Sinh viên đăng ký trực tiếp trên QLĐT và nộp hồ sơ bản cứng muộn nhất vào lúc 10h, thứ Hai, 25/11/2024 tại P103-C1 bàn số 4.
Mọi thắc mắc sinh viên liên hệ qua Teams: Cô Thư - thu.nguyenthianh."
Những điều kiện nào là bắt buộc để sinh viên được xét học bổng POSCO năm học 2024-2025?,"Học bổng POSCO năm học 2024-2025
1. Đối tượng xét chọn:
Sinh viên đạt đồng thời các điều kiện sau được đăng ký xét học bổng:
- Sinh viên K67, 68 các ngành kỹ thuật (trừ sinh viên Viện Ngoại ngữ, Viện KT&QL);
- Có kết quả học tập CPA cho đến hết học kì 2023.2 từ 3.0/4.0 trở lên;
- Có kết quả rèn luyện học kỳ 2023.2 từ 70 điểm trở lên;
- Học tối thiểu 12 tín chỉ trong tất cả các học kì đã học.
Lưu ý:
- Ưu tiên xét học bổng cho sinh viên ngành Kỹ thuật Vật liệu, Trường Vật liệu.
- Có ưu tiên sinh viên nữ.
- Không xét hồ sơ của sinh viên đã nhận học bổng tài trợ khác trong năm học 2024-2025.
- Sinh viên đạt học bổng POSCO có cơ hội tham gia xét tuyển chương trình tham quan, trao đổi tại Hàn Quốc do Posco tài trợ.
2. Số lượng và mức học bổng:
- Số lượng: 10 suất;
- Mức học bổng: 1000 USD/1 suất.
3. Các bước đăng kí
Bước 1: Sinh viên đăng ký online tại QLĐT trước ngày 3/12/2024.
Bước 2: Sinh viên nộp hồ sơ bản cứng tại P103-C1 bàn số 4 trước 15,00 ngày 2/12/2024.
4. Hồ sơ đăng kí
- Application form theo mẫu đính kèm thông báo trên QLĐT (sinh viên sửa bằng máy tính, sau đó lưu file dạng pdf với tên file: MSSV_Họ tên; ví dụ: 20241111_Nguyễn Văn A);
- Bản scan của bảng điểm CPA đến kì 2023.2 (đề nghị cấp tại Trường/Khoa hoặc Ban Đào tạo)."
Điều kiện nào sau đây là bắt buộc để sinh viên Đại học Bách khoa Hà Nội có thể đăng ký học bổng Zeon năm học 2024-2025?,"Học bổng Zeon năm học 2024-2025
1. Thông tin học bổng
• Nhà tài trợ: Zeon Corporation
• Giá trị học bổng: 600 USD/1 sinh viên
• Thời hạn học bổng: 1 năm (năm học 2024-2025)
• Chỉ tiêu: 03 sinh viên
  2. Tiêu chí dự tuyển
Thí sinh dự tuyển cần đáp ứng các điều kiện sau:
 Hiện đang là sinh viên đại học năm thứ 3, năm thứ 4, năm thứ 5, hoặc học viên cao học thuộc Trường Hóa và Khoa học sự sống, Trường Vật liệu, Trường Cơ khí, Trường Điện - Điện tử, Đại học Bách khoa Hà Nội. 
 Có điểm CPA tính đến thời điểm đăng ký học bổng từ 3.0 trở lên. Đối với học viên cao học năm thứ nhất, điểm CPA của giai đoạn đại học là 3.0 trở lên. 
• Có khả năng tiếng Anh tương đương với TOEIC 500 điểm trở lên.
• Chưa nhận học bổng từ doanh nghiệp khác trong năm học 2024-2025. 
• Tiêu chí khác:
 Không có nghĩa vụ vào làm việc cho Zeon Corporation, nhưng có mong muốn phát huy kiến thức để làm việc trong các lĩnh vực nghiên cứu cơ bản, nghiên cứu ứng dụng, nghiên cứu phát triển sản phẩm và quy trình sản xuất tại viện nghiên cứu, nhà máy sản xuất của Zeon Corporation (tại Nhật Bản).
 Yêu thích Nhật Bản, có nguyện vọng sang Nhật làm việc sau khi tốt nghiệp. Có định hướng làm việc ở nước ngoài trong tương lai.
  3. Phương thức đăng ký dự tuyển
Sinh viên đăng kí trên QLĐT và nộp hồ sơ như dưới đây tới Ban Công tác sinh viên (P103-C1 bàn số 4) để đăng ký dự tuyển.
(1) Đơn đăng ký xét tuyển (theo MẪU đính kèm thông báo học bổng. Viết bằng máy tính, không viết tay)
(2) Bảng điểm CPA có xác nhận của ĐHBKHN (đề nghị Ban Đào tạo hoặc Trường/Khoa cấp) (※)
(3) Bản copy thẻ sinh viên
(4) Bản copy kết quả thi tiếng Anh TOEIC hoặc chứng chỉ tiếng Anh khác (nếu có) (※)
(5) Bản copy của bằng khen, giấy khen, bài báo khoa học đã đăng hoặc những chứng chỉ khác (nếu có)
(6) Học viên cao học cần nộp thêm một bản copy bằng Tốt nghiệp Đại học, và một bản tóm tắt nội dung nghiên cứu hoặc định hướng nghiên cứu (khoảng 01 trang A4, viết bằng tiếng Anh)
※Nếu là tiếng Việt phải được dịch sang tiếng Anh. Các bản copy và bản dịch tiếng Anh đều không cần công chứng.
  Hạn nộp hồ sơ: Ngày 28 tháng 11 năm 2024 tại P103-C1 bàn số 4.
  4. Quy trình xét tuyển
Sinh viên nhận học bổng được tuyển chọn thông qua xét tuyển hồ sơ và phỏng vấn bằng tiếng Anh. Phỏng vấn sẽ được thực hiện theo hình thức trực tiếp hoặc trực tuyến trên Zoom. 
  5. Trao học bổng
Học bổng dự định được chuyển khoản vào cuối tháng 1 năm 2025.
  6. Giao lưu, gặp mặt định kỳ
Công ty sẽ tổ chức các buổi giao lưu định kỳ (khoảng 3 tháng 1 lần) với mục đích giới thiệu công ty, nắm bắt nguyện vọng của sinh viên sau khi tốt nghiệp đặc biệt là nguyện vọng làm việc tại Nhật nói chung và tại Zeon Corporation nói riêng."
Điều kiện nào cần đáp ứng để được nhận học bổng toàn phần trong chương trình học bổng khóa đào tạo và thi chứng chỉ quốc tế TOEIC 500 (bổ sung)?,"Chương trình học bổng khóa đào tạo và thi chứng chỉ quốc tế TOEIC 500 (bổ sung)
Căn cứ thỏa thuận hợp tác giữa ĐHBK Hà Nội và Quỹ Chắp cánh CC Foundation, Nhà trường thông báo về Chương trình học bổng khóa đào tạo và thi chứng chỉ quốc tế TOEIC 500 như sau:
1. Đối tượng cấp học bổng: học bổng được cấp cho sinh viên có các điều kiện sau:
CPA đến hết 2023.2 đạt từ 2.0 trở lên;
ĐRL tích lũy đạt từ 50 trở lên;
Có trình độ tiếng Anh đầu vào tương đương 300 TOEIC;
Có hoàn cảnh gia đình khó khăn: có sổ/giấy chứng nhận hộ cận nghèo, hộ nghèo hoặc hoàn cảnh khó khăn năm 2024 do địa phương cấp. Đối với sinh viên có hoàn cảnh gia đình khó khăn khác (gia đình có kinh tế khó khăn đông con đi học; sinh viên dân tộc thiểu sổ khó khăn; sinh viên khuyết tật hoặc đang chữa bệnh dài ngày; gia đình có người mắc bệnh; hoặc các hoàn cảnh khó khăn đột xuất khác....) có thể xin xác nhận tại địa phương hoặc trực tiếp tại Ban Công tác sinh viên, ĐHBK Hà Nội.
Sinh viên nhận học bổng khóa học không ảnh hưởng đến việc đăng ký và xét nhận các học bổng tài trợ doanh nghiệp, Trần Đại Nghĩa hay KKHT.
2. Số lượng và giá trị:
Số lượng: 40 suất (20 sinh viên/1 lớp);
Giá trị học bổng: 7.000.000 đồng/ 1 suất (bao gồm kinh phí tài trợ cho sinh viên tham gia khóa đào tạo tại Trung tâm CLC với sự tham gia giảng dạy của giảng viên Việt Nam và chuyên gia bản xứ; cùng kinh phí tài trợ cho sinh viên thi chứng chỉ TOEIC 2 kỹ năng quốc tế do IIG tổ chức);
Lưu ý: Các mức học bổng được phân chia như sau:
- Học bổng toàn phần (100%): Đối với sinh viên hoàn thành khóa học, thi đạt chứng chỉ ngoại ngữ quốc tế TOIEC theo yêu cầu của Chương trình đào tạo hoặc sinh viên tham gia đủ 90% thời lượng khóa học trở lên;
- Học bổng 40%: đối với sinh viên tham gia từ 75% đến dưới 90% thời lượng khóa học và thi không đạt chứng chỉ ngoại ngữ quốc tế TOIEC, hoặc sinh viên/học viên đã theo học nhưng không hoàn thành khóa học.
- Nhà tài trợ không cấp học bổng Đối với sinh viên/học viên tham gia dưới 75% thời lượng khóa học.
3. Đăng kí học bổng:
Sinh viên đăng kí trực tiếp trên QLĐT;
Sinh viên cần tải lên ảnh chụp các hồ sơ minh chứng cho hoàn cảnh gia đình có xác nhận của địa phương và minh chứng điểm tiếng Anh đến thời điểm thời điểm đăng ký tại mục upload tài liệu;
Thời hạn đăng kí: đến hết ngày 17/11/2024;
Dự kiến thời gian khai giảng: tháng 11/2024;
Sinh viên có thắc mắc liên hệ trực tiếp qua teams: thu.nguyenthianh hoặc clc2@hust.edu.vn"
Điều kiện nào cần đáp ứng để được nhận học bổng Platinum của chương trình Học bổng Phát triển Nhân tài – Never Give Up năm học 2024 – 2025?,"Học bổng Phát triển Nhân tài – Never Give Up năm học 2024 – 2025
MỤC ĐÍCH
Hỗ trợ tài chính cho tân sinh viên và sinh viên tài năng, đạt điểm cao hiện đang theo học tại các trường đại học công lập nhằm chia sẻ, động viên, khích lệ sinh viên học tập đạt thành tích tốt, phát triển bản thân, góp phần vào công cuộc xây dựng đất nước. 
NỘI DUNG
Đối tượng xét chọn: Những sinh viên đã được nhận học bổng các chương trình khác vẫn tiếp tục được tham gia chương trình học bổng này.
- Đối với sinh viên năm nhất: chỉ xét sinh viên có thành tích cao tại các cuộc thi Olympic quốc tế. Các mức học bổng như đối với sinh viên từ năm thứ 2.
- Đối với sinh viên từ năm thứ 2:
*Học bổng Gold: 30.000.000 đồng/năm: CPA từ 3.4/4, điểm rèn luyện tích lũy: từ 90/100;
* Học bổng Platinum: 50.000.000 đồng/năm: CPA từ 3.6/4, là tác giả của bài báo khoa học được đăng trên tạp chí quốc tế (Q1, Q2, Q3, Q4), điểm rèn luyện tích lũy: từ 90/100
* Học bổng Diamond: 100.000.000 đồng/năm: 01 sinh viên xuất sắc nhất trong danh sách xét chọn sẽ được nhận học bổng Diamond
Ưu tiên:
 (1) Sinh viên là tác giả của bài báo khoa học quốc tế uy tín (xếp hạng Q1, Q2, Q3, Q4), đạt giải Olympic quốc tế
 (2) Gia đình chính sách, có công với đất nước (chỉ xét mối quan hệ là ông bà nội/ngoại, ba mẹ)
 (3) Sinh viên có địa chỉ thường trú ở vùng sâu vùng xa 
 (4) Sinh viên đạt các giải thưởng, bằng khen của các cơ quan đoàn thể, cấp bộ, ngành.
 (5) Sinh viên nữ
 (6) Sinh viên có chứng chỉ ngoại ngữ: tiếng Anh IELTS tối thiểu 6.5 hoặc TOEFL iBT tương đương
Hồ sơ xét học bổng
- Bài luận cá nhân – personal statement: yêu cầu sinh viên giới thiệu về bản thân (Họ tên, mã số sinh viên, ngành, email, số điện thoại,…) quá trình học tập, lý do đề nghị xét học bổng và kế hoạch tương lai,… (tối đa 1000 từ, có thể viết tiếng anh, viết tay). Đây là một nội dung rất quan trọng để Ban điều hành có thể lựa chọn được những ứng viên tài năng và xuất sắc để trao học bổng.
- 04 ảnh 4x6 (chụp trong vòng 6 tháng trở lại, ghi họ tên SV và tên trường phía sau mỗi ảnh).
- Sơ yếu lý lịch có xác nhận của địa phương hoặc nhà trường.
- Các giấy tờ minh chứng thuộc diện gia đình chính sách, có công với đất nước (bản sao có công chứng).
- Bảng điểm có xác nhận của nhà trường. Đối với sinh viên năm nhất, nộp minh chứng đạt giải cuộc thi Olympic quốc tế.
- Giấy xác nhận điểm rèn luyện tích lũy của SV (xin tại Ban CTSV).
- Chứng chỉ ngoại ngữ: tiếng Anh IELTS tối thiểu 6.5 hoặc TOEFL iBT tương đương (nếu có, bản sao công chứng).
- Giấy khen, bằng khen của các cơ quan chức năng cấp bộ, ngành (nếu có, bản sao công chứng).
- Giấy chứng nhận tham gia các hoạt động ngoại khóa, công tác xã hội (nếu có, bản sao công chứng).
- Bản Abstract các nghiên cứu được đăng trên các tạp chí khoa học chuyên ngành (nếu có).
Quy trình thực hiện
Những sinh viên đang học tại các trường có tên trong danh sách đáp ứng đủ tiêu chí xét cấp học bổng của chương trình Phát triển Nhân tài thực hiện đầy đủ các bước sau:
Bước 1: Sinh viên chuẩn bị đầy đủ tất cả các giấy tờ yêu cầu, đăng kí trên QLĐT.
Bước 2: Sinh viên scan hồ sơ.
Bước 3: Sinh viên điền hồ sơ học bổng online theo đường link: https://forms.gle/KRbJ1rgM8YN6eUer8 trước ngày 07/11/2024.
Bước 4: Sinh viên gửi 01 bộ hồ sơ giấy hoàn chỉnh về P103-C1 bàn số 4 trước ngày 07/11/2024."
Những điều kiện nào cần đáp ứng để được xét học bổng Chắp cánh Bách khoa kì 2024.1?,"Chương trình học bổng Chắp cánh Bách khoa kì 2024.1
1. Đối tượng xét học bổng: Sinh viên thỏa mãn các điều kiện sau:
- Sinh viên/ học viên kỹ sư chuyên sâu đặc thù thuộc Trường Công nghệ thông tin và truyền thông, Trường Điện - Điện tử, Trường Cơ khí, Khoa Toán - Tin, Trường Hóa và Khoa học Sự sống, Trường Vật liệu, Khoa Vật lý kỹ thuật, Khoa Khoa học và Công nghệ giáo dục
- Hoàn cảnh kinh tế gia đình khó khăn (hộ nghèo/cận nghèo hoặc hộ có hoàn cảnh gia đình khó khăn có xác nhận của UBND xã/phường nơi gia đình sinh viên cư trú hoặc các minh chứng khác như sổ bệnh án, ... và được ĐH Bách khoa Hà Nội xác nhận).
- Có kết quả học tập trung bình tích lũy CPA từ 3.20 trở lên
- Kết quả rèn luyện tích lũy từ 65 điểm trở lên.
2. Giá trị:
- Số lượng: 16 suất;
- Giá trị: 18.000.000đ/1 suất.
*Lưu ý: sinh viên nhận học bổng Chắp cánh được ưu tiên xét nhận học bổng cho đến khi tốt nghiệp nếu duy trì CPA từ 3.2/4 trở lên và ĐRL tích lũy từ 65/100 trở lên.
3. Hướng dẫn đăng kí:
- Sinh viên đăng kí trên qldt đến trước ngày 5/11/2024.
- Sinh viên mô tả cụ thể hoàn cảnh khó khăn của gia đình và upload kèm theo minh chứng (sổ hộ nghèo, cận nghèo năm 2024, hoặc các minh chứng khác về hoàn cảnh khó khăn của gia đình có xác nhận của các cơ quan có thẩm quyền,...)."
"Tổng giá trị học bổng ""The Best of MB Chasing 2024"" là bao nhiêu và giá trị học bổng cho mỗi sinh viên nằm trong khoảng nào?","HỌC BỔNG THE BEST OF MB CHASING 2024
Ngân hàng TMCP Quân đội (MB) đồng hành cùng Nhà trường tổ chức đăng ký và trao học bổng trị giá 300.000.000 triệu đồng tiền mặt tới sinh viên. Cụ thể như sau:
- Gói học bổng: Tổng giá trị 300.000.000 đồng.
- Giá trị học bổng: 10.000.000 – 30.000.000 VNĐ/sinh viên
- Thời gian mở đơn: Đến hết 15h00 ngày 28/10/2024 (hoặc có thể đóng đơn sớm hơn khi đủ số lượng sinh viên đăng ký)
Các tiêu chí xét chọn Học bổng:
1. Hiện là sinh viên từ năm 02 của Trường Công nghệ thông tin và truyền thông – ĐH Bách Khoa Hà Nội và có nguyện vọng nhận học bổng;
2. CPA đến hết 2023.2 từ 2.5/4.0 trở lên, ĐRL kì 2023.2 từ 65 trở lên; chưa nhận học bổng doanh nghiệp nào trong kì 2024.1;
3. Ưu tiên: Tham gia các chương trình MB Chasing, MB Trainee, cuộc thi The Banker, đang là RM Tập sự, Thực tập sinh, Đại sứ thương hiệu tuyển dụng của MB hoặc tham gia các cuộc thi, chương trình do MB tổ chức, đồng hành.
Link đăng ký: https://forms.gle/NegZo2LryNzSqbYQ6"
